,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
2660,0,0,0,1,0.16901408450704225,1,0,1,0,0,0,0,0,1,0.3368159203980099,0.07521924763443343,1,0,0,1,0,0,0,1,0,0
744,1,0,0,0,0.056338028169014086,1,0,0,0,0,0,0,0,1,0.2567164179104477,0.021157396722824833,1,0,0,1,0,0,0,1,0,0
5579,1,0,1,1,0.971830985915493,1,1,1,1,1,1,0,0,0,0.7527363184079602,0.757010154627279,0,1,0,0,0,1,1,0,0,0
64,1,0,0,0,0.11267605633802817,1,1,0,0,0,0,1,1,0,0.7577114427860697,0.0967516732056312,0,1,0,1,0,0,0,0,1,0
3287,0,0,1,1,0.25352112676056343,1,1,0,0,0,1,1,1,1,0.8228855721393035,0.21425686591276252,0,1,0,0,1,0,0,0,1,0
816,1,0,0,0,0.014084507042253521,1,0,0,0,1,0,0,1,1,0.6761194029850747,0.018451419339949225,0,1,0,1,0,0,0,0,0,1
2670,1,0,1,1,0.7042253521126761,1,1,1,0,0,1,1,0,1,0.7651741293532338,0.574803831063928,0,1,0,0,1,0,0,0,0,1
5920,1,1,0,0,0.35211267605633806,1,0,0,0,0,0,0,1,1,0.6024875621890546,0.22932148626817447,0,1,0,1,0,0,0,0,1,0
1023,1,1,1,0,0.619718309859155,1,0,0,0,1,0,0,1,1,0.6751243781094527,0.44341680129240707,0,1,0,1,0,0,0,0,1,0
6087,0,0,0,1,0.35211267605633806,0,0,0,1,0,0,1,0,1,0.21592039800995028,0.11596468959150705,1,0,0,0,1,0,1,0,0,0
3391,0,0,0,0,0.04225352112676056,1,0,0,0,0,0,0,0,0,0.007462686567164173,0.006306254327255943,0,0,1,1,0,0,0,0,0,1
6599,1,0,1,0,0.16901408450704225,1,1,0,1,1,0,1,0,0,0.7547263681592039,0.1381029309946919,0,1,0,1,0,0,0,0,1,0
3341,1,1,0,0,0.676056338028169,1,0,0,0,0,0,0,0,0,0.254228855721393,0.24085506577429036,1,0,0,1,0,0,0,0,0,1
4683,0,0,0,0,0.323943661971831,1,1,0,0,0,0,1,1,1,0.7547263681592039,0.26587237479806136,0,1,0,1,0,0,0,0,1,0
4154,0,0,0,0,0.07042253521126761,1,1,0,0,0,0,0,0,1,0.5636815920398011,0.052042464804985006,0,1,0,1,0,0,0,0,1,0
4552,1,0,0,0,0.11267605633802817,1,0,0,0,0,0,0,0,1,0.021890547263681587,0.014856912070159243,0,0,1,1,0,0,0,1,0,0
5836,0,0,0,0,0.07042253521126761,1,0,0,0,0,0,0,0,0,0.008955223880596996,0.012185552734825758,0,0,1,0,1,0,0,0,0,1
5781,1,0,0,0,0.36619718309859156,1,0,0,0,1,1,0,1,1,0.7059701492537314,0.2728825294253404,0,1,0,1,0,0,0,0,1,0
5492,1,0,1,1,0.9014084507042254,1,1,0,0,0,0,0,0,1,0.07014925373134329,0.19960189245326565,0,0,1,0,0,1,1,0,0,0
2936,0,0,0,0,0.5492957746478874,1,1,0,1,1,0,1,1,1,0.8398009950248756,0.4718843757212093,0,1,0,1,0,0,0,0,0,1
2215,1,0,1,0,0.971830985915493,0,0,1,0,1,1,0,1,1,0.3144278606965174,0.3867297484421878,1,0,0,0,0,1,1,0,0,0
2467,0,0,1,1,0.676056338028169,1,1,0,0,0,1,1,1,1,0.7930348258706468,0.5653242557119778,0,1,0,0,1,0,0,0,1,0
5519,0,0,1,0,0.0,1,0,1,0,1,0,0,0,0,0.372636815920398,0.004258019847680591,1,0,0,1,0,0,0,0,0,1
9,0,0,0,1,0.8591549295774649,1,0,1,1,0,0,0,0,0,0.3771144278606965,0.4003173321024694,1,0,0,0,1,0,1,0,0,0
4136,0,0,1,0,0.647887323943662,1,0,0,0,0,0,0,0,0,0.01641791044776117,0.10664089545349643,0,0,1,0,1,0,1,0,0,0
2973,1,0,1,1,0.8591549295774649,1,0,0,1,1,0,1,1,1,0.8149253731343283,0.7228825294253405,0,1,0,1,0,0,0,0,1,0
6719,0,0,1,0,1.0,1,1,0,0,0,0,0,0,0,0.07462686567164178,0.21294714978075238,0,0,1,0,0,1,0,1,0,0
1569,1,0,1,1,0.19718309859154928,1,0,0,0,0,0,0,0,0,0.27910447761194024,0.07161897069005309,1,0,0,1,0,0,0,0,1,0
5339,0,0,1,1,0.4084507042253521,1,1,0,0,0,0,1,0,0,0.6686567164179105,0.2874624971151627,0,1,0,1,0,0,0,0,1,0
6571,1,0,0,0,0.46478873239436624,1,0,1,1,0,0,0,0,0,0.3656716417910447,0.21536464343411033,1,0,0,0,1,0,0,0,0,1
1816,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.009452736318407956,4.6157396722824526e-05,0,0,1,1,0,0,0,0,0,1
5190,0,1,1,1,0.3943661971830986,1,1,0,0,1,0,1,1,1,0.8527363184079603,0.3399492268636049,0,1,0,1,0,0,0,0,1,0
943,1,0,1,0,1.0,0,0,1,1,1,1,1,1,0,0.4701492537313433,0.5655319639972305,1,0,0,0,0,1,1,0,0,0
6812,1,1,0,0,0.619718309859155,1,0,1,1,0,1,0,0,1,0.6711442786069651,0.4337987537502885,0,1,0,1,0,0,1,0,0,0
5104,1,0,1,0,0.23943661971830985,1,0,0,0,0,0,0,0,0,0.01840796019900498,0.04058389106854374,0,0,1,0,0,1,0,0,0,1
40,0,0,1,1,0.1267605633802817,1,0,0,1,0,0,0,0,0,0.3114427860696517,0.05272328640664667,1,0,0,0,1,0,0,0,0,1
2702,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.2562189054726368,0.002907915993537964,1,0,0,1,0,0,0,0,1,0
3528,0,0,0,0,0.2112676056338028,1,0,0,0,0,0,0,0,1,0.014427860696517386,0.03734133394876529,0,0,1,1,0,0,0,0,0,1
5354,1,0,0,1,0.0,1,0,0,0,0,0,1,1,1,0.707462686567164,0.00814101084698823,0,1,0,1,0,0,0,0,1,0
1151,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.005970149253731349,5.769674590352849e-06,0,0,1,1,0,0,0,0,1,0
6024,1,0,1,0,0.02816901408450704,1,1,0,1,0,0,0,1,1,0.7288557213930348,0.025865451188552966,0,1,0,1,0,0,0,1,0,0
1556,1,0,0,0,0.0,1,0,0,1,0,1,1,0,0,0.7308457711442786,0.008412185552734826,0,1,0,1,0,0,0,0,1,0
3997,1,0,1,0,0.9577464788732395,1,0,0,1,0,0,0,1,1,0.4298507462686567,0.47454419570736206,1,0,0,0,0,1,0,1,0,0
4718,1,0,1,0,0.26760563380281693,1,0,0,0,0,0,0,0,1,0.01741293532338306,0.04588622201707824,0,0,1,0,1,0,0,0,0,1
